entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-11-23 20:59:00,2025-11-23 21:04:00,SHORT,86987.75,87175.42,-187.66999999999825,Stop Loss
2025-11-23 22:21:00,2025-11-23 23:09:00,LONG,87492.0,87316.8,-175.1999999999971,Stop Loss
2025-11-23 23:27:00,2025-11-23 23:41:00,LONG,87544.14,87806.93,262.7899999999936,Take Profit
2025-11-24 00:12:00,2025-11-24 00:22:00,SHORT,87699.28,87912.38,-213.10000000000585,Stop Loss
2025-11-24 00:23:00,2025-11-24 00:37:00,LONG,87939.81,87693.34,-246.47000000000116,Stop Loss
2025-11-24 00:46:00,2025-11-24 01:04:00,LONG,87781.57,87537.38,-244.19000000000236,Stop Loss
2025-11-24 02:35:00,2025-11-24 04:01:00,LONG,86730.05,87310.74,580.6900000000023,Take Profit
2025-11-24 05:19:00,2025-11-24 05:38:00,LONG,87704.19,87488.44,-215.75000000000003,Stop Loss
2025-11-24 06:07:00,2025-11-24 06:15:00,LONG,87511.75,87182.6,-329.1499999999942,Stop Loss
2025-11-24 07:02:00,2025-11-24 07:07:00,LONG,86806.06,87155.99,349.93000000000757,Take Profit
2025-11-24 07:50:00,2025-11-24 08:05:00,SHORT,87356.25,87057.49,298.75999999999476,Take Profit
2025-11-24 09:21:00,2025-11-24 09:43:00,LONG,86831.28,87274.25,442.9700000000012,Take Profit
2025-11-24 10:00:00,2025-11-24 11:09:00,SHORT,86915.78,86557.88,357.8999999999942,Take Profit
2025-11-24 12:05:00,2025-11-24 12:13:00,LONG,86122.86,85935.37,-187.49000000000524,Stop Loss
2025-11-24 12:44:00,2025-11-24 13:36:00,LONG,85925.47,86340.46,414.99000000000524,Take Profit
2025-11-24 14:03:00,2025-11-24 14:15:00,SHORT,86160.44,85958.28,202.1600000000035,Take Profit
2025-11-24 14:31:00,2025-11-24 14:36:00,LONG,86226.37,86048.29,-178.08000000000175,Stop Loss
2025-11-24 14:38:00,2025-11-24 15:07:00,SHORT,86066.26,86300.77,-234.5100000000093,Stop Loss
2025-11-24 15:51:00,2025-11-24 16:00:00,SHORT,86375.69,86068.76,306.93000000000757,Take Profit
2025-11-24 16:33:00,2025-11-24 16:38:00,LONG,86386.74,86079.07,-307.66999999999825,Stop Loss
2025-11-24 16:40:00,2025-11-24 17:02:00,SHORT,85779.04,86367.79,-588.75,Stop Loss
2025-11-24 17:27:00,2025-11-24 17:34:00,SHORT,86025.66,86456.05,-430.3899999999994,Stop Loss
2025-11-24 18:59:00,2025-11-24 19:25:00,SHORT,87163.29,87548.59,-385.3000000000029,Stop Loss
2025-11-24 20:40:00,2025-11-24 20:49:00,SHORT,88355.5,88647.72,-292.22000000000116,Stop Loss
2025-11-24 21:26:00,2025-11-24 21:34:00,SHORT,88546.66,88731.42,-184.75999999999476,Stop Loss
